"Journal Data Filtered By:  Selected Journals: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"NATURE","NATURE","NATURE PORTFOLIO","0028-0836","1476-4687","MULTIDISCIPLINARY SCIENCES","SCIE","1,053,832","56.1","Q1","10.84","53.07"%,
"Nature Human Behaviour","NAT HUM BEHAV","NATURE PORTFOLIO","2397-3374","2397-3374","MULTIDISCIPLINARY SCIENCES","SCIE","21,937","17.5","Q1","3.95","35.94"%,
"Nature Human Behaviour","NAT HUM BEHAV","NATURE PORTFOLIO","2397-3374","2397-3374","NEUROSCIENCES","SCIE","21,937","17.5","Q1","3.95","35.94"%,
"Nature Human Behaviour","NAT HUM BEHAV","NATURE PORTFOLIO","2397-3374","2397-3374","PSYCHOLOGY, EXPERIMENTAL","SSCI","21,937","17.5","Q1","3.95","35.94"%,
"Lancet Regional Health-Americas","LANCET REG HEALTH-AM","ELSEVIER","2667-193X","2667-193X","HEALTH CARE SCIENCES & SERVICES","ESCI","5,339","9.1","Q1","2.44","100"%,
"Lancet Regional Health-Americas","LANCET REG HEALTH-AM","ELSEVIER","2667-193X","2667-193X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","5,339","9.1","Q1","2.44","100"%,
"AMERICAN JOURNAL OF PUBLIC HEALTH","AM J PUBLIC HEALTH","AMER PUBLIC HEALTH ASSOC INC","0090-0036","1541-0048","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","41,993","7.8","Q1","1.69","0.49"%,
"Current Opinion in Psychology","CURR OPIN PSYCHOL","ELSEVIER","2352-250X","2352-2518","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","17,345","7.4","Q1","1.12","50.1"%,
"JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","J PERS SOC PSYCHOL","AMER PSYCHOLOGICAL ASSOC","0022-3514","1939-1315","PSYCHOLOGY, SOCIAL","SSCI","90,080","6.8","Q1","2.43","20.99"%,
"Clinical Epigenetics","CLIN EPIGENETICS","BMC","1868-7075","1868-7083","GENETICS & HEREDITY","SCIE","10,152","5.7","Q1","1.12","100"%,
"Clinical Epigenetics","CLIN EPIGENETICS","BMC","1868-7075","1868-7083","ONCOLOGY","SCIE","10,152","5.7","Q1","1.12","100"%,
"PSYCHOLOGICAL SCIENCE","PSYCHOL SCI","SAGE PUBLICATIONS INC","0956-7976","1467-9280","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","36,595","5.4","Q1","1.76","46.58"%,
"Clinical Psychological Science","CLIN PSYCHOL SCI","SAGE PUBLICATIONS INC","2167-7026","2167-7034","PSYCHIATRY","SCIE","5,509","5.1","Q1","1.4","30.05"%,
"Clinical Psychological Science","CLIN PSYCHOL SCI","SAGE PUBLICATIONS INC","2167-7026","2167-7034","PSYCHOLOGY","SCIE","5,509","5.1","Q1","1.4","30.05"%,
"Clinical Psychological Science","CLIN PSYCHOL SCI","SAGE PUBLICATIONS INC","2167-7026","2167-7034","PSYCHOLOGY, CLINICAL","SSCI","5,509","5.1","Q1","1.4","30.05"%,
"AGGRESSION AND VIOLENT BEHAVIOR","AGGRESS VIOLENT BEH","PERGAMON-ELSEVIER SCIENCE LTD","1359-1789","1873-6335","CRIMINOLOGY & PENOLOGY","SSCI","7,320","4.5","Q1","1.21","40.94"%,
"AGGRESSION AND VIOLENT BEHAVIOR","AGGRESS VIOLENT BEH","PERGAMON-ELSEVIER SCIENCE LTD","1359-1789","1873-6335","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","7,320","4.5","Q1","1.21","40.94"%,
"International Journal of Environmental Research","INT J ENVIRON RES","SPRINGER INT PUBL AG","1735-6865","2008-2304","ENVIRONMENTAL SCIENCES","SCIE","3,070","4.3","Q2","0.53","8.86"%,
"CHILD DEVELOPMENT","CHILD DEV","OXFORD UNIV PRESS","0009-3920","1467-8624","PSYCHOLOGY, DEVELOPMENTAL","SSCI","32,805","3.6","Q1","1.25","58.99"%,
"CHILD DEVELOPMENT","CHILD DEV","OXFORD UNIV PRESS","0009-3920","1467-8624","PSYCHOLOGY, EDUCATIONAL","SSCI","32,805","3.6","Q2","1.25","58.99"%,
"JOURNAL OF RESEARCH IN CRIME AND DELINQUENCY","J RES CRIME DELINQ","SAGE PUBLICATIONS INC","0022-4278","1552-731X","CRIMINOLOGY & PENOLOGY","SSCI","2,737","3.2","Q1","1.65","14.29"%,
"SOCIAL SCIENCE RESEARCH","SOC SCI RES","ACADEMIC PRESS INC ELSEVIER SCIENCE","0049-089X","1096-0317","SOCIOLOGY","SSCI","7,400","3.1","Q1","1.54","42.07"%,
"PLoS One","PLOS ONE","PUBLIC LIBRARY SCIENCE","N/A","1932-6203","MULTIDISCIPLINARY SCIENCES","SCIE","876,526","2.8","Q2","0.8","99.93"%,
"Journal of Experimental Criminology","J EXP CRIMINOL","SPRINGER","1573-3750","1572-8315","CRIMINOLOGY & PENOLOGY","SSCI","2,047","2.5","Q1","1.31","46.5"%,
"BEHAVIOR GENETICS","BEHAV GENET","SPRINGER","0001-8244","1573-3297","BEHAVIORAL SCIENCES","SCIE","2,405","2.4","Q2","0.68","55.06"%,
"BEHAVIOR GENETICS","BEHAV GENET","SPRINGER","0001-8244","1573-3297","GENETICS & HEREDITY","SCIE","2,405","2.4","Q3","0.68","55.06"%,
"BEHAVIOR GENETICS","BEHAV GENET","SPRINGER","0001-8244","1573-3297","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","2,405","2.4","Q2","0.68","55.06"%,
"JOURNAL OF CRIMINAL JUSTICE","J CRIM JUST","ELSEVIER","0047-2352","1873-6203","CRIMINOLOGY & PENOLOGY","SSCI","4,895","2.3","Q1","1.42","33.01"%,
"Frontiers in Sociology","FRONT SOCIOL","FRONTIERS MEDIA SA","N/A","2297-7775","SOCIOLOGY","ESCI","3,582","2.3","Q2","1.13","100"%,
"American Journal of Criminal Justice","AM J CRIM JUSTICE","SPRINGER","1066-2316","1936-1351","CRIMINOLOGY & PENOLOGY","SSCI","2,006","1.7","Q2","1.09","36.24"%,
"Journal of Developmental and Life-Course Criminology","J DEV LIFE-COURSE CR","SPRINGER INT PUBL AG","2199-4641","2199-465X","CRIMINOLOGY & PENOLOGY","SSCI","598","1.5","Q3","1","41.79"%,
"JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE","J OCCUP ENVIRON MED","LIPPINCOTT WILLIAMS & WILKINS","1076-2752","1536-5948","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","8,284","1.4","Q4","0.46","20.81"%,

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
